fragment,n_fragment,MW,SLogP,nRot,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
C1=C2CCCCC3CCC4C3CCC3C(=C(C1)CCC34)C2,3,282.234751,6.0396,0,0,0,0,0,2,0,0,6
C1=C2CCCCCC3=CC=CC(=C3C2)CC1,3,212.1565006,4.2182,0,0,0,0,0,1,0,1,2
C1=C2CCCCCCC(C1)C2,3,150.1408506,3.677,0,0,0,0,0,1,0,0,2
C1=C2CCCCCCCC3CC2NNC13,3,206.1782987,2.522,0,2,0,0,0,1,0,0,5
C1=C2CCCCCCCC3NCCC4C1CN(CCCCCCCCCCC34)C2,3,400.3817495,6.7077,0,2,0,0,0,1,0,0,4
C1=C2CCCCCCCCCCC(CC1)O2,3,222.1983655,4.9639,0,0,0,1,0,1,0,0,2
C1=C2CCCCCCCCCCCC(C1)CO2,3,236.2140155,5.2115,0,0,0,1,0,1,0,0,3
C1=C2CCCCCCCCCCCCCCC(=C1)S2,3,278.206822,6.5279,0,0,1,0,0,0,0,1,1
C1=C2CCCCCCCCCN3CCC=C(CCCCCCCCCN(CC1)C2)C3,3,414.3973996,7.5058,0,2,0,0,0,2,0,0,3
C1=C2CCCCCN(C2)OC1,3,153.1153641,1.734,0,1,0,1,0,1,0,0,2
C1=C2CCCCCOCCCC(=C1)O2,3,194.1306798,2.9552,0,0,0,2,0,0,0,1,1
C1=C2CCCOCC(=C1)[NH]2,3,137.084064,1.4775,0,1,0,1,0,0,0,1,1
C1=C2CCCOCCCCCCCCCCCOC3=CC(=C2C=C3)OC1,3,358.2507949,6.1625,0,0,0,3,0,1,0,1,3
C1=C2CCCOP(O1)O2,3,146.0132807,1.9119,0,0,0,3,0,1,0,0,2
C1=C2CCN=C1CNN2,3,123.0796473,-0.1772,0,3,0,0,0,2,0,0,2
C1=C2CCN1CC2,3,95.07349929,0.9797,0,1,0,0,0,1,0,0,2
C1=C2CCN1CCC1=CN(CC1)CC2,3,190.1469986,1.9594,0,2,0,0,0,2,0,0,3
C1=C2CCN1N1C=C(CC1)CC1CNC3C4NCC(C2)NC4C3N1,3,328.2375449,-0.5148,0,6,0,0,0,2,0,0,6
C1=C2CCNC1O2,3,97.05276384,0.2199,0,1,0,1,0,1,0,0,3
C1=C2CCNCC=C(CCNC1)S2,3,196.1034195,1.474,0,2,1,0,0,2,0,0,2
C1=C2CCNCCCCCCN3C=C(CCNCCCCCCN1CC2)CC3,3,388.3565974,4.2594,0,4,0,0,0,2,0,0,3
C1=C2CCNCCCCCN1CC2,3,180.1626486,1.7396,0,2,0,0,0,1,0,0,2
C1=C2CCOCCCOCC3=CC=CC(=C3OCC3=CC=CC(=N3)CO2)COCCCOC1,3,455.2307878,4.325,0,1,0,6,0,1,0,2,2
C1=C2CCOCCOCCOCCOCCOCCOCCC(=CC1)S2,3,388.1919597,2.7845,0,0,1,6,0,2,0,0,2
C1=C2CN(C1)CCOCCOCCN2,3,198.1368278,-0.1777,0,2,0,2,0,1,0,0,2
C1=C2CN3CC=C2C(CC1)N3,3,148.1000484,0.8354,0,2,0,0,0,2,0,0,4
C1=C2CN3CCCCCCCOCCN(CC1)C2=NC3,3,277.2154125,2.2708,0,3,0,1,0,2,0,0,4
C1=C2CNCCC(CCC1)C2,3,151.1360995,2.0963,0,1,0,0,0,1,0,0,2
C1=C2CNCCCCCNCC3CCC(CC(=C1)O2)O3,3,278.1994281,2.2328,0,2,0,2,0,0,0,1,2
C1=C2CNCCCNCC3=CC=C(CC(=C1)O2)O3,3,246.1368278,2.0463,0,2,0,2,0,0,0,2,1
C1=C2CNCCNCC3=CC=C(CSCC(=C1)O2)O3,3,278.1088988,2.4988,0,2,1,2,0,0,0,2,1
C1=C2CNCCOCCOCCOCCOCCNCC3=CC=C(CSCC(=C1)O2)O3,3,454.2137578,2.5652,0,2,1,6,0,0,0,2,1
C1=C2COC(=CO1)C2,3,110.0367794,1.1622,0,0,0,2,0,2,0,0,2
C1=C2COCCCCOC3CCC=C(COCCCCOC(CC1)O2)O3,3,368.2198887,3.6676,0,0,0,6,0,2,0,0,3
C1=C2COCCN3CCOCCOCCN(CCOCCOCC3)CCOC3=CC=CC(=C3C2)C1,3,490.3042871,1.8046,0,2,0,6,0,1,0,1,4
C1=C2COCCOCC3=CCC=C(COCCOCC(=CC1)O2)O3,3,336.1572885,2.4426,0,0,0,6,0,4,0,0,3
C1=C2COCCOCCOCC(=CC1)N2,3,211.1208434,0.8109,0,1,0,3,0,2,0,0,2
C1=C2COCCOCCOCC(=CN1)COC2,3,241.1314081,0.4374,0,1,0,4,0,2,0,0,3
C1=C2CSCC3=CC(=CC=C3)CSCC3=C4C=CC=C1C4=C(C=C3)C2,3,360.1006426,6.4595,0,0,2,0,0,1,0,3,4
C1=C2N=C(C1)NC1=CC=C(NC3=NC(CC3)NC3CCC(N2)N3)[NH]1,3,326.1967427,1.2289,0,8,0,0,0,3,0,1,4
C1=C2N=C(C1)NC1=NC(=NC3=NC(=NC4CCC(=N4)N2)CC3)CC1,3,322.1654426,1.5228,0,8,0,0,0,7,0,0,5
C1=C2N=C3CC=C(N3)NC3=CC=C(N=C4CC=C(N=C(C1)N2)N4)[NH]3,3,320.1497925,1.7713,0,8,0,0,0,6,0,1,4
C1=C2N=C3CCC(=N3)N=C3CCC(=NC(=C1)[NH]2)[NH]3,3,240.1123444,0.9598,0,6,0,0,0,0,0,2,2
C1=C2N=C3CCC(=N3)N=C3CCC(=NC4=NC(=NC(C1)N2)CC4)N3,3,322.1654426,1.5228,0,8,0,0,0,7,0,0,5
C1=C2N=C3CCC4=NC5=NC(CC5)N=C5CCC(=NC(=C1)[NH]2)N5CN43,3,334.1654426,2.5664,0,8,0,0,0,5,0,1,5
C1=C2NC3=NC(=NC4CCC(=N4)NC4=NC(CC4)NC(=C1)[NH]2)CC3,3,324.1810926,2.0693,0,8,0,0,0,4,0,1,4
C1=C2NC3=NC(=NC4CCC(N=C5CCC(=N5)NC(=C1)[NH]2)N4)CC3,3,324.1810926,2.0693,0,8,0,0,0,4,0,1,4
C1=C2NC3=NC(CC3)N=C3CCC(=NC4CCC(=N4)NC(=C1)[NH]2)N3,3,324.1810926,2.0693,0,8,0,0,0,4,0,1,4
C1=C2OCCCOC3C2=C2OC3CCOC3COCC1=C23,3,290.1154237,2.2794,0,0,0,5,0,0,0,1,4
C1=C2SCCCCCCSC3=CSC(=C4CCC(=C(S1)S2)CC4)S3,3,430.0045767,8.5818,0,0,6,0,0,4,0,0,5
C1=C2SCCCCCSC3=CSC(=C4CCC(=C(S1)S2)CC4)S3,3,415.9889266,8.1917,0,0,6,0,0,4,0,0,5
C1=CC=C2C=CC(=C1)C2,3,116.0626003,2.3689,0,0,0,0,0,4,0,0,2
C1=CC=C2CC(=C1)CC1=CC=CC=C2C1,3,194.1095504,4.0155,0,0,0,0,0,6,0,0,3
C1=CC=C2CC(=C1)CCC=N2,3,145.0891494,2.6212,0,1,0,0,0,4,0,0,2
C1=CC=C2CC(=C1)CCC1=CC=CC=C2C1,3,208.1252005,4.4056,0,0,0,0,0,6,0,0,3
C1=CC=C2CC(=C1)SCCOCCOCCS2,3,270.0748218,3.2273,0,0,2,2,0,3,0,0,2
C1=CC=C2CC(=C1)SCCOCCS2,3,226.0486071,3.2107,0,0,2,1,0,3,0,0,2
C1=CC=C2CCCC(=C1)C2,3,132.0939004,2.983,0,0,0,0,0,3,0,0,2
C1=CC=C2OCCCCCOCCCCCOC3=CC(=C1)C2=C3,3,314.1881947,4.9198,0,0,0,3,0,0,0,2,1
C1=CC=C2OCCCCOCCCCOCCCCOC3=CC(=C1)C2=C3,3,358.2144094,4.9364,0,0,0,4,0,0,0,2,1
C1=CC=C2OCCOCCOCCOCCOC3=CC(=C1)C2=C3,3,318.1467238,2.6124,0,0,0,5,0,0,0,2,1
C1=CC=CC=CC=C[NH]C=CC=CC=CC=C1,3,223.1360995,4.3879,0,1,0,0,0,0,0,1,0
C1=CC=CC=CN=NC=CC=C1,3,158.0843983,3.1482,0,2,0,0,0,6,0,0,1
C1=CC=CCC2CCN3CCC(CCCCC4CCCC(NCC=C1)O4)OC3C2,3,400.3089785,4.9309,0,2,0,2,0,3,0,0,4
C1=CC=CCCC=CCCC=CC=C1,3,186.1408506,4.3414,0,0,0,0,0,5,0,0,1
C1=CC=CCCOC=CC=CCC=C1,3,188.1201151,3.5353,0,0,0,1,0,5,0,0,1
C1=CC=CCN2CCCC3CCC(CCCCC4CCN5CCCC(CC=C1)C5O4)OC32,3,440.3402786,5.6632,0,2,0,2,0,3,0,0,5
C1=CC=CNNC=CC=C1,3,134.0843983,1.234,0,2,0,0,0,4,0,0,1
C1=CC=COC=CC=CC=CNCCC=NC=CC=NC=C1,3,295.1684623,3.8188,0,3,0,1,0,9,0,0,1
C1=CC=CP=1,3,81.99723673,1.4172,0,0,0,0,0,3,0,0,1
C1=CC=CP=PC=C1,3,139.9944735,3.391,0,0,0,0,0,4,0,0,1
C1=CC=NC=1,3,65.0265491,0.7396,0,1,0,0,0,3,0,0,1
C1=CC=NCNCCN=CNNC=C1,3,193.1327455,-0.1897,0,5,0,0,0,4,0,0,1
C1=CC=NNCCCCNN=C1,3,166.1218464,0.4872,0,4,0,0,0,3,0,0,1
C1=CC2=C3[NH]C=C2C3=C1,3,115.0421992,2.1967,0,1,0,0,0,0,0,5,0
C1=CC2=C3C=C(CCC2)[NH]C3=C1,3,157.0891494,2.6566,0,1,0,0,0,0,0,2,1
C1=CC2=C3C=C1C2=CC=C3,3,126.0469502,2.5674,0,0,0,0,0,2,0,1,2
C1=CC2=C3C=C1C2C1=CC=C3C=C1,3,164.0626003,3.0472,0,0,0,0,0,3,0,1,4
C1=CC2=C3C=C1CC1=CC(=C(C=C1)OCOCO2)OCOCO3,3,316.0946882,2.683,0,0,0,6,0,0,0,2,4
C1=CC2=C3C=C1CCC1=C4C=C2C(=C1CC4)C3,3,218.1095504,3.455,0,0,0,0,0,0,0,2,3
C1=CC2=C3C=C1CCC1=CC4=C(C=C1)C=CC1=CC=C(C=C14)CCC1=CC3=C(C=C1)C=C2,3,408.1878008,8.1832,0,0,0,0,0,0,0,6,1
C1=CC2=C3C=C1CCC3CCC2,3,158.1095504,3.0527,0,0,0,0,0,0,0,1,2
C1=CC2=C3C=C1COCCCCOCC1=CC=C(C2)C(=C1)O3,3,296.1412445,4.2101,0,0,0,3,0,0,0,2,2
C1=CC2=C3C=C1NOCC2O3,3,149.0476785,1.4772,0,1,0,2,0,0,0,1,4
C1=CC2=C3C=C1OC(CC2)O3,3,148.0524295,1.7301,0,0,0,2,0,0,0,1,2
