fragment,n_fragment,MW,SLogP,nRot,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing
[NH]1[NH]O[NH]O1,3,77.02252634,-0.0187,0,3,0,2,0,0,0,1,0
[NH]1[PH][PH][NH]P2[NH]P1[NH]2,3,185.9542927,2.4706,0,4,0,0,0,0,0,3,0
[NH]1SSSSSSSS1,3,270.787467,4.8799,0,1,8,0,0,0,0,1,0
[PH]1[PH][PH]S[PH]1,3,159.8984176,2.9977,0,0,1,0,0,0,0,1,0
[PH]1[PH]P2P3[PH][PH]P2P1[PH]3,3,283.8029798,6.4123,0,0,0,0,0,0,0,3,0
C1#CC=CC=CC=C1,3,102.0469502,1.672,0,0,0,0,0,3,1,0,1
C1#CC=CC=CC=CC#CC=CC=CC=CC#C1,3,228.0939004,3.86094,0,0,0,0,0,0,3,1,0
C1#CC=CC=CC=CC=CC=CNCC=CC=CC=CC=CC#C1,3,311.1673997,4.5597,0,1,0,0,0,9,2,0,1
C1#CC=CC=CC=CC=CCC=CC=CC=CCCC#C1,3,272.1565006,5.0705,0,0,0,0,0,7,2,0,1
C1#CC=CC=CC=CC=CNCC=CC=CC=CC#C1,3,259.1360995,3.4473,0,1,0,0,0,7,2,0,1
C1#CC=CC=CC=CCC=CC=CC=CCCC#C1,3,246.1408506,4.5143,0,0,0,0,0,6,2,0,1
C1#CC=CCC=C1,3,90.04695019,1.5059,0,0,0,0,0,2,1,0,1
C1#CC=COCCCCOC=C1,3,164.0837296,1.8442,0,0,0,2,0,2,1,0,1
C1#CC2=CC=C(C=C2)CCC2=CC=C(C#CCCC1)C=C2,3,270.1408506,4.3587,0,0,0,0,0,0,2,2,3
C1#CC2=CC=CC=C(C=CCC=CC3=CC=CC=C(C#C1)C3)C2,3,294.1408506,5.1347,0,0,0,0,0,8,2,0,3
C1#CC2CCC3CCNC(C#CC=C1)C3C2,3,211.1360995,1.9574,0,1,0,0,0,1,2,0,3
C1#CC2CCCCC(CC1)C2,3,148.1252005,2.9801,0,0,0,0,0,0,1,0,2
C1#CCC#CCC#CCC#CCC#CC1,3,190.0782503,1.9675,0,0,0,0,0,0,5,0,1
C1#CCC#CCC#CCC#CCC=C1,3,178.0782503,2.1302,0,0,0,0,0,1,4,0,1
C1#CCC2CC3COC(C2)C3C#CC=C1,3,198.1044651,1.9943,0,0,0,1,0,1,2,0,4
C1#CCC2CCCC(CCC=CCC1)C2,3,202.1721507,4.3165,0,0,0,0,0,1,1,0,2
C1#CCCC#CCC1,3,104.0626003,1.5672,0,0,0,0,0,0,2,0,1
C1#CCCC=CC2=CC=CC(=C2)C=CCCC#C1,3,232.1252005,4.2938,0,0,0,0,0,2,2,1,1
C1#CCCC=CCNC=CCCC#C1,3,185.1204495,2.2267,0,1,0,0,0,2,2,0,1
C1#CCCCC#CCCOCC=C1,3,174.1044651,2.14,0,0,0,1,0,1,2,0,1
C1#CCCCC=CCC1,3,120.0939004,2.5101,0,0,0,0,0,1,1,0,1
C1#CCCCCC=C1,3,106.0782503,2.12,0,0,0,0,0,1,1,0,1
C1#CCCCCC2=CCC=C(OC=CC=CCCC=CC1)O2,3,296.17763,5.5224,0,0,0,2,0,5,1,0,2
C1#CCCCCCC=CCCCC1,3,176.1565006,4.0705,0,0,0,0,0,1,1,0,1
C1#CCCCCCCCCCCCCCC1,3,220.2191009,5.4648,0,0,0,0,0,0,1,0,1
C1#CCCCCCCCCCCCCOCCOCCCCCCCCCCCCC#C1,3,444.3967309,8.6222,0,0,0,2,0,0,2,0,1
C1#CCCCCOCCOC2=CC=C(C=C2)CC2=CC=C(C=C2)OCCOCCCC1,3,422.2457096,5.4258,0,0,0,4,0,0,1,2,3
C1#CCCNCCC#CCCNCC1,3,190.1469986,0.7464,0,2,0,0,0,0,2,0,1
C1#CCCOCCCCCCOCC1,3,196.1463299,2.3772,0,0,0,2,0,0,1,0,1
C1#CCCOCCCOCC1,3,154.0993797,1.2069,0,0,0,2,0,0,1,0,1
C1#CCCOCCCOCCC=C1,3,180.1150298,1.7631,0,0,0,2,0,1,1,0,1
C1#CCNCCCCCC1,3,137.1204495,1.5435,0,1,0,0,0,0,1,0,1
C1#CCOCCCCC1,3,124.088815,1.5804,0,0,0,1,0,0,1,0,1
C1#CCOCCCCCC1,3,138.1044651,1.9705,0,0,0,1,0,0,1,0,1
C1#CCOCCCCCCOCC#CC=C1,3,218.1306798,2.1566,0,0,0,2,0,1,2,0,1
C1#CCOCCCCCCOSOCCCC1,3,258.1289656,3.3471,0,0,1,3,0,0,1,0,1
C1#CCOCCCCOCC#CC=C1,3,190.0993797,1.3764,0,0,0,2,0,1,2,0,1
C1#CCOCCCSSCCCOC1,3,232.0591718,2.1982,0,0,2,2,0,0,1,0,1
C1#CCOCCOCCOCC#CC1,3,194.0942943,0.4467,0,0,0,3,0,0,2,0,1
C1#CCOCOCC#CCC1,3,150.0680796,0.7777,0,0,0,2,0,0,2,0,1
C1#CCPCC#CCCC1,3,150.059837,1.8556,0,0,0,0,0,0,2,0,1
C1#CCPCC#CCCCC1,3,164.075487,2.2457,0,0,0,0,0,0,2,0,1
C1#CCPCC#CCCCCC1,3,178.0911371,2.6358,0,0,0,0,0,0,2,0,1
C1#CCSC=CSCC#CC=C1,3,192.0067423,2.5006,0,0,2,0,0,2,2,0,1
C1#CSCC1,3,84.00337113,1.0842,0,0,1,0,0,0,1,0,1
C1=[SH]CCSC1,3,120.0067423,1.0009,0,0,2,0,0,1,0,0,1
C1=C[NH]SO[NH]1,3,104.0044337,1.1217,0,2,1,1,0,0,0,1,0
C1=C[SH]2CC(C1)CS2,3,146.0223923,2.183,0,0,2,0,0,1,0,0,2
C1=C=C=CC=CC=CC=CC=CC=C=1,3,178.0782503,3.4014,0,0,0,0,0,9,0,0,1
C1=C=C=CC=CC=CC=CC=CC=CC=C=1,3,204.0939004,3.9576,0,0,0,0,0,10,0,0,1
C1=C=C2C=CC=CC#CCCC=CC=1C=CC=CC#CCCC=C2,3,308.1565006,5.5248,0,0,0,0,0,9,2,0,2
C1=C=CCCC=C=C=CCCC=1,3,156.0939004,3.2932,0,0,0,0,0,6,0,0,1
C1=C=CN=CC=1,3,77.0265491,0.8947,0,1,0,0,0,4,0,0,1
C1=C2C=C(C1)CCC1=CC=C(C=C1)CC2,3,196.1252005,3.8219,0,0,0,0,0,2,0,1,3
C1=C2C=C(C1)CCCC1=CC(=CC1)CCCC2,3,226.1721507,5.2437,0,0,0,0,0,4,0,0,3
C1=C2C=C(C1)CCCC1=CC=C(CCCC2)C1,3,226.1721507,5.2437,0,0,0,0,0,4,0,0,3
C1=C2C=C(C1)CCCC1=CCC(=C1)CCCC2,3,226.1721507,5.2437,0,0,0,0,0,4,0,0,3
C1=C2C=C(C1)CCCCC1=CC(=CC1)CCC2,3,226.1721507,5.2437,0,0,0,0,0,4,0,0,3
C1=C2C=C(C1)CCCCC1=CCC(=C1)CCCC2,3,240.1878008,5.6338,0,0,0,0,0,4,0,0,3
C1=C2C=C(C1)CSCC1=CC(=CN=C1)CSC2,3,261.0645915,3.8181,0,1,2,0,0,2,0,1,2
C1=C2C=C(C1)CSCC1=CC=C(C=C1)CSC2,3,260.0693425,4.4231,0,0,2,0,0,2,0,1,3
C1=C2C=C(CC1)C1=CC(=CCC1)COCCOCCOCCOCCOC2,3,376.2249741,3.3762,0,0,0,5,0,4,0,0,3
C1=C2C=C(CC1)C1=CC(=CCC1)CSCCSCCCSCCSC2,3,410.123035,6.6161,0,0,4,0,0,4,0,0,3
C1=C2C=C(CC1)CCC1=CC=C(CC2)CC1,3,212.1565006,4.8536,0,0,0,0,0,4,0,0,4
C1=C2C=C(CC1)CCCCCCCCCCCCCCCCCCCCCCCCC2,3,428.4382018,11.3991,0,0,0,0,0,2,0,0,2
C1=C2C=C(CC1)OC1=CC(=CC=C1)CCCNCCNC2,3,284.1888634,2.7949,0,2,0,1,0,2,0,1,2
C1=C2C=C(CCCCCCCCC2)NC1,3,205.1830497,3.9244,0,1,0,0,0,2,0,0,2
C1=C2C=C1C2,3,64.03130013,1.2565,0,0,0,0,0,2,0,0,3
C1=C2C=C3C(=C1)CCC1C3CCC3C(CCC31)O2,3,240.1514153,3.9136,0,0,0,1,0,0,0,1,5
C1=C2C=C3C=C1CCCC1=CC(=CC(=C1)CCC3)CCC2,3,276.1878008,4.8393,0,0,0,0,0,0,0,2,3
C1=C2C=C3C=CC(=CC4=CC(=CC5=CC=C(C=C1CC2)[NH]5)CC4)[NH]3,3,312.1626486,5.0952,0,2,0,0,0,0,0,3,2
C1=C2C=C3C=CC=C2C3=C1,3,126.0469502,0.6582,0,0,0,0,0,3,0,1,2
C1=C2C=C3CCC(=CC4=CC=C(C=C5CCC(=CC(=N2)C1)N5)[NH]4)N3,3,316.1687966,3.9733,0,4,0,0,0,6,0,1,4
C1=C2C=C3CCC(=CC4=NC(=CC5=CC=C(C=C1CC2)[NH]5)CC4)[NH]3,3,315.1735477,3.9978,0,3,0,0,0,0,0,2,3
C1=C2C=C3CCC(C=C4CCC(C=C5CCC(C=C(C1)N2)N5)N4)N3,3,322.2157468,2.6688,0,4,0,0,0,5,0,0,5
C1=C2C=C3CCOC(OCC2)OC3=C1,3,192.0786442,1.4944,0,0,0,3,0,0,0,1,3
C1=C2C=C3CNCCOCC4=C(C=CC(=C4)CC2)CCC3=C1,3,293.1779644,3.1902,0,1,0,1,0,0,0,2,5
C1=C2C=CC(=C1)NC1=CC=C3C(=C1)CCN3CC2,3,236.1313485,3.3488,0,2,0,0,0,0,0,2,5
C1=C2C3=CCCC2CCCC2CCC3C2C1,3,214.1721507,4.4792,0,0,0,0,0,2,0,0,5
C1=C2C3CC4N2CCC42CCN4CCC(OC1)C3C42,3,258.1732133,1.4575,0,2,0,1,0,1,0,0,6
C1=C2C3CCC4C(CCCC3CC1)CCC24,3,216.1878008,4.5591,0,0,0,0,0,1,0,0,5
C1=C2CC(CC1)C1CCCC2C1,3,162.1408506,3.5329,0,0,0,0,0,1,0,0,3
C1=C2CC(CC1)CCN2,3,123.1047994,1.6637,0,1,0,0,0,1,0,0,2
C1=C2CC(COCO2)OC1,3,142.0629942,0.6635,0,0,0,3,0,1,0,0,2
C1=C2CC=C(C1)CC2,3,106.0782503,2.4268,0,0,0,0,0,2,0,0,3
C1=C2CC=C(C1)CCC1=CC3=C(C=C1CCC1=C4C=C(CC3)C(=C1)CCC1=CCC(=CC1)CC4)CC2,3,472.3130013,8.6212,0,0,0,0,0,4,0,2,14
C1=C2CC=C(C1)CCCCCC2,3,162.1408506,3.9872,0,0,0,0,0,2,0,0,3
C1=C2CC=C(CCCCCCC1)OC2,3,192.1514153,3.9613,0,0,0,1,0,2,0,0,3
C1=C2CC=C(CCCCCCCCC2)O1,3,206.1670653,4.699,0,0,0,1,0,2,0,0,3
C1=C2CC=C(CCCCCCCCCCCCC2)O1,3,262.2296656,6.2594,0,0,0,1,0,2,0,0,3
C1=C2CC=C(CCCCCCCCCCCCCCCCC2)O1,3,318.2922658,7.8198,0,0,0,1,0,2,0,0,3
C1=C2CC=C(CCCCCCCCCCCCCCCCCCC2)O1,3,346.323566,8.6,0,0,0,1,0,2,0,0,3
C1=C2CC3=C(C1)CCN3C2,3,133.0891494,1.68,0,1,0,0,0,2,0,0,3
C1=C2CC3=CC(=CC=C3)COC3=C4C=CC(=C3)OC2=CC4C1,3,288.1150298,4.5117,0,0,0,2,0,2,0,2,6
C1=C2CC3=CC(=CC=C3O1)OCO2,3,176.0473441,1.8294,0,0,0,3,0,1,0,1,2
C1=C2CC3=CC=CC(=C3C2)CCCCCC1,3,212.1565006,4.2182,0,0,0,0,0,1,0,1,2
C1=C2CC3=CC=CC(=C3C2)CSCCCCSC1,3,276.1006426,4.4718,0,0,2,0,0,1,0,1,2
C1=C2CC3=CCCC=C4CC(=CCC1)C2CC34,3,224.1565006,4.7095,0,0,0,0,0,4,0,0,4
C1=C2CCC(=C1)CC1=CC=C(CC3=CC=C(CC3)CC3=CC=C(C2)O3)O1,3,344.17763,6.0496,0,0,0,2,0,4,0,2,6
C1=C2CCC(=C1)CCC1=CC=C(CC2)O1,3,200.1201151,3.805,0,0,0,1,0,2,0,1,3
C1=C2CCC(=C1)CCC1=CC=C(CC2)S1,3,216.0972715,4.2735,0,0,1,0,0,2,0,1,3
C1=C2CCC(=C1)CN1CCN(CCNCCN3CCN(CC3)C2)CC1,3,345.2892461,0.4714,0,5,0,0,0,2,0,0,11
C1=C2CCC(=C1)COC2,3,122.0731649,1.6632,0,0,0,1,0,2,0,0,3
C1=C2CCC(=C1)CSCC1=NC(=CC=C1)CC2,3,243.1081705,3.9076,0,1,1,0,0,2,0,1,3
C1=C2CCC(=C1)CSCCC1=CC=C(C=C1)CCSC2,3,302.1162927,4.8982,0,0,2,0,0,2,0,1,5
C1=C2CCC(=C1)CSCCCCCCSC2,3,254.1162927,4.6734,0,0,2,0,0,2,0,0,3
C1=C2CCC(=C1)OCOCO2,3,154.0629942,1.5264,0,0,0,3,0,2,0,0,3
C1=C2CCC(=C1)SNCCCCCNSC1=CC=C(CC1)OCCOCCO2,3,424.1854349,4.8189,0,2,2,3,0,4,0,0,6
C1=C2CCC(=CC1)CCC1=CC=C(C=C1)CC2,3,224.1565006,4.6021,0,0,0,0,0,2,0,1,3
C1=C2CCC(=N1)CSCCCCCSC2,3,241.0958916,3.7554,0,1,2,0,0,2,0,0,3
C1=C2CCC(=N1)S2,3,111.0142702,1.2417,0,1,1,0,0,0,0,1,1
C1=C2CCC(=N2)C=C2C=CC(=CC3=CC=C(C=C4CCC1=N4)S3)[NH]2,3,331.1143185,4.6186,0,3,1,0,0,0,0,3,2
C1=C2CCC(=N2)N=C2CCC(=NC3=CC=C(N=C4CCC1=N4)[NH]3)[NH]2,3,319.1545435,1.5778,0,7,0,0,0,0,0,2,3
C1=C2CCC(N2)C2=CCC3=C2[NH]C(=C3)C=C2C=CC(=CC3=CC=C1[NH]3)[NH]2,3,340.1687966,2.3745,0,4,0,0,0,4,0,3,3
C1=C2CCC1=NC1=CC=C(N=C3CCC(=N3)N=C3CCC(=N2)[NH]3)[NH]1,3,319.1545435,1.5778,0,7,0,0,0,0,0,2,3
C1=C2CCC1=NC1=NC(=NC3C=C(CC3)NC3=CC=C(N2)[NH]3)CC1,3,320.1749446,3.6079,0,6,0,0,0,5,0,1,4
C1=C2CCC1CCSCCCS2,3,200.0693425,3.5405,0,0,2,0,0,1,0,0,2
C1=C2CCC1CCSCCS2,3,186.0536924,3.1504,0,0,2,0,0,1,0,0,2
C1=C2CCC3=CC=C(CCC(=C1)[NH]2)[NH]3,3,186.1156984,2.2266,0,2,0,0,0,0,0,2,1
C1=C2CCC3C4=C2CC(C1)CCCCC1CCC3C1CC4,3,282.234751,6.0396,0,0,0,0,0,2,0,0,6
C1=C2CCC3C4CCC5C(CCC53)OCCOC(C1)CC24,3,288.2089301,3.953,0,0,0,2,0,1,0,0,6
C1=C2CCC3CCCC(=C2C3)C1,3,160.1252005,3.5971,0,0,0,0,0,2,0,0,3
C1=C2CCC3CCCC4OC1CCC2C34,3,204.1514153,3.3003,0,0,0,1,0,1,0,0,5
C1=C2CCCC=C(CCC1)OCO2,3,180.1150298,3.1127,0,0,0,2,0,2,0,0,2
C1=C2CCCC1=C1C=C2CCC1,3,158.1095504,2.664,0,0,0,0,0,0,0,1,2
C1=C2CCCC1CCN2,3,123.1047994,1.6637,0,1,0,0,0,1,0,0,2
C1=C2CCCC1SCCS2,3,172.0380424,2.9028,0,0,2,0,0,1,0,0,2
C1=C2CCCC3=CC=C(CC3)CSCC(=C1)CC2,3,258.1442217,5.1967,0,0,1,0,0,4,0,0,6
C1=C2CCCC3=CC=C(CCCC(=C1)O2)S3,3,232.0921861,4.0051,0,0,1,1,0,0,0,2,1
C1=C2CCCC3=CC=C(CCCC4=CC=C(CCCC(=C1)CC2)CC4)CC3,3,360.2817012,8.4507,0,0,0,0,0,6,0,0,7
C1=C2CCCC3CCC(C1)C2C3,3,162.1408506,3.5329,0,0,0,0,0,1,0,0,3
C1=C2CCCC3CCC(CC1)C(C3)O2,3,192.1514153,3.6495,0,0,0,1,0,1,0,0,3
C1=C2CCCC3NCCNCCNCCNC4CCCC1=C4N=C23,3,329.257946,1.2084,0,5,0,0,0,0,0,1,3
C1=C2CCCCC(=CCC1)CSC2,3,194.1129216,3.9402,0,0,1,0,0,2,0,0,2
C1=C2CCCCC(=CCC1)N2,3,149.1204495,2.7116,0,1,0,0,0,2,0,0,2
C1=C2CCCCC(=CCC1)OCO2,3,180.1150298,3.1127,0,0,0,2,0,2,0,0,2
C1=C2CCCCC3=CC=C(CCCCC(=C1)C2)C3,3,240.1878008,5.6338,0,0,0,0,0,4,0,0,3
C1=C2CCCCC3=CC=CC(=C3)CCC(=CC1)C2,3,238.1721507,4.9922,0,0,0,0,0,2,0,1,2
C1=C2CCCCC3=CCC4C3OC2C4C1,3,202.1357652,3.2204,0,0,0,1,0,2,0,0,4
C1=C2CCCCC3CCC1OC23,3,164.1201151,2.6642,0,0,0,1,0,1,0,0,3
