fragment,n_fragment,MW,SLogP,nRot,nN,nS,nO,nX,nBondsD,nBondsT,naRing,nARing,keep
C1OC2C3C4CC5CC6C7CC8CC4C2C82C7C1C6C532,6,266.1670653,2.8054,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0
C1CCC23CC4C5CC(CC4(CC1)O2)OCC5CO3,112,264.1725446,2.8773,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0
C1=CC2=CC(=C1)CCCNCCNCCC1=CC2=CC=C1,4296,280.1939488,3.0215,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
C1#CC=CC#CC#CC=CC#CC#CC=CC#C1,8,222.0469502,2.66208,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0
C1=CCOC2=CC=C(C=C2)CCCNCCNC1,84,246.1732133,1.7469999999999999,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0
C1=CCCCCCCC2=CC(=CC=C2)NCCC=CCCC1,25,297.24565,6.2779,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0
C1SSSCSSS1,7,219.8637261,3.9742,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0
C1=CN2CNCC3=NN(C=C3)CNCC1=N2,3,218.1279944,-0.1124,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0
C1COCOOCOCOOCOCCO1,4,240.08451749999998,-0.2072,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0
