cid	frag_id2neighbors
"5287182"	{"0": [7, 6], "1": [8], "2": [8], "3": [8], "4": [5, 8], "5": [4], "6": [0], "7": [0, 8], "8": [7, 1, 2, 3, 4]}
"20393803"	{"0": [10], "1": [10], "2": [10, 11], "3": [11], "4": [11], "5": [6, 11], "6": [5, 12], "7": [8, 12], "8": [7], "9": [12], "10": [0, 1, 2], "11": [2, 3, 4, 5], "12": [6, 7, 9]}
"21401959"	{"0": [1], "1": [0, 23], "2": [23, 24], "3": [4, 24], "4": [3], "5": [20, 24], "6": [7, 20], "7": [6, 25], "8": [25], "9": [25], "10": [11, 25], "11": [10, 21], "12": [22, 23], "13": [14, 22], "14": [13, 15], "15": [14, 26], "16": [26], "17": [18, 26], "18": [17, 19], "19": [18], "20": [5, 6], "21": [11], "22": [12, 13], "23": [1, 2, 12], "24": [2, 3, 5], "25": [7, 8, 9, 10], "26": [15, 16, 17]}
"15480910"	{"0": [1], "1": [0, 2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 21], "6": [7, 20], "7": [6, 8], "8": [7], "9": [20, 22], "10": [22], "11": [22], "12": [13, 20], "13": [12, 14], "14": [13], "15": [21, 23], "16": [23], "17": [18, 23], "18": [17, 19], "19": [18], "20": [6, 9, 12, 21], "21": [5, 15, 20], "22": [9, 10, 11], "23": [15, 16, 17]}
"25007344"	{"0": [21], "1": [21], "2": [18, 21], "3": [4, 18], "4": [3, 22], "5": [22], "6": [19, 22], "7": [8, 19], "8": [7, 23], "9": [23], "10": [20, 23], "11": [12, 20], "12": [11, 13], "13": [12, 14], "14": [13], "15": [20, 24], "16": [24], "17": [24], "18": [2, 3], "19": [6, 7], "20": [10, 11, 15], "21": [0, 1, 2], "22": [4, 5, 6], "23": [8, 9, 10], "24": [15, 16, 17]}
"18029384"	{"0": [25], "1": [25, 28], "2": [28, 29], "3": [26, 29], "4": [26], "5": [29, 30], "6": [30], "7": [8, 30], "8": [7, 9], "9": [8, 27], "10": [28, 31], "11": [31], "12": [31, 32], "13": [14, 32], "14": [13, 15], "15": [14, 16], "16": [15], "17": [18, 32], "18": [17, 33], "19": [33], "20": [21, 33], "21": [20, 34], "22": [34], "23": [34], "24": [34], "25": [0, 1], "26": [3, 4], "27": [9], "28": [1, 2, 10], "29": [2, 3, 5], "30": [5, 6, 7], "31": [10, 11, 12], "32": [12, 13, 17], "33": [18, 19, 20], "34": [21, 22, 23, 24]}
"4384958"	{"0": [9], "1": [10], "2": [10], "3": [4, 10], "4": [3, 5], "5": [4, 11], "6": [11], "7": [11], "8": [11], "9": [0, 10], "10": [9, 1, 2, 3], "11": [5, 6, 7, 8]}
"6468823"	{"0": [9], "1": [9, 11], "2": [11], "3": [11], "4": [5, 11], "5": [4, 10], "6": [10], "7": [10], "8": [9], "9": [0, 1, 8], "10": [5, 6, 7], "11": [1, 2, 3, 4]}
"24226358"	{"0": [11], "1": [11], "2": [7, 11], "3": [7, 8], "4": [8], "5": [9, 10], "6": [7], "7": [2, 3, 6], "8": [3, 4, 9], "9": [5, 8], "10": [5], "11": [0, 1, 2]}
"19375211"	{"0": [1], "1": [0, 2], "2": [1, 3], "3": [2, 4], "4": [3, 13], "5": [13], "6": [7, 13], "7": [6], "8": [13, 14], "9": [14, 15], "10": [15], "11": [15], "12": [14], "13": [4, 5, 6, 8], "14": [8, 9, 12], "15": [9, 10, 11]}
