cid	frag_id2neighbors
"28376780"	{"0": [14], "1": [2, 14], "2": [1, 15], "3": [15], "4": [5, 15], "5": [4, 12], "6": [7, 12], "7": [6, 8], "8": [7, 16], "9": [16], "10": [16], "11": [13, 14], "12": [5, 6], "13": [11], "14": [0, 1, 11], "15": [2, 3, 4], "16": [8, 9, 10]}
"16352706"	{"0": [1], "1": [0, 2], "2": [1, 11], "3": [11], "4": [5, 11], "5": [4, 12], "6": [12], "7": [12], "8": [9, 12], "9": [8], "10": [11], "11": [2, 3, 4, 10], "12": [5, 6, 7, 8]}
"8536751"	{"0": [12], "1": [12, 13], "2": [13], "3": [9, 13], "4": [5, 12], "5": [4, 14], "6": [14], "7": [10, 14], "8": [10, 11], "9": [3], "10": [7, 8], "11": [8], "12": [0, 1, 4], "13": [1, 2, 3], "14": [5, 6, 7]}
"18386381"	{"0": [17], "1": [17, 20], "2": [20], "3": [18, 20], "4": [5, 18], "5": [4], "6": [18, 21], "7": [21], "8": [21], "9": [10, 18], "10": [9, 19], "11": [19], "12": [13, 19], "13": [12, 22], "14": [22], "15": [22], "16": [19], "17": [0, 1], "18": [3, 4, 6, 9], "19": [10, 11, 12, 16], "20": [1, 2, 3], "21": [6, 7, 8], "22": [13, 14, 15]}
"9085153"	{"0": [10], "1": [11, 13], "2": [13], "3": [4, 13], "4": [3, 5], "5": [4, 14], "6": [14], "7": [8, 14], "8": [7, 12], "9": [12], "10": [0, 11], "11": [10, 1], "12": [8, 9], "13": [1, 2, 3], "14": [5, 6, 7]}
"24320025"	{"0": [1], "1": [0, 2], "2": [1, 18], "3": [18], "4": [15, 18], "5": [6, 15], "6": [5, 19], "7": [19], "8": [16, 19], "9": [16, 20], "10": [20], "11": [20], "12": [13, 20], "13": [12, 17], "14": [17], "15": [4, 5], "16": [8, 9], "17": [13, 14], "18": [2, 3, 4], "19": [6, 7, 8], "20": [9, 10, 11, 12]}
"8626124"	{"0": [18], "1": [18], "2": [3, 18], "3": [2, 4], "4": [3, 19], "5": [19], "6": [7, 19], "7": [6, 8], "8": [7, 20], "9": [20], "10": [11, 20], "11": [10, 16], "12": [16], "13": [16, 21], "14": [21], "15": [17, 21], "16": [11, 12, 13], "17": [15], "18": [0, 1, 2], "19": [4, 5, 6], "20": [8, 9, 10], "21": [13, 14, 15]}
"12012895"	{"0": [15], "1": [15], "2": [15], "3": [15, 16], "4": [5, 16], "5": [4, 6], "6": [5, 17], "7": [8, 17], "8": [7], "9": [17, 18], "10": [18], "11": [18], "12": [18], "13": [14, 16], "14": [13], "15": [0, 1, 2, 3], "16": [3, 4, 13], "17": [6, 7, 9], "18": [9, 10, 11, 12]}
"3333305"	{"0": [16], "1": [16], "2": [3, 16], "3": [2, 17], "4": [17, 18], "5": [18], "6": [18], "7": [8, 17], "8": [7, 19], "9": [19], "10": [11, 19], "11": [10, 15], "12": [15, 20], "13": [20], "14": [20], "15": [11, 12], "16": [0, 1, 2], "17": [3, 4, 7], "18": [4, 5, 6], "19": [8, 9, 10], "20": [12, 13, 14]}
"14187785"	{"0": [1], "1": [0, 2], "2": [1, 18], "3": [18], "4": [18, 19], "5": [6, 19], "6": [5, 20], "7": [8, 20], "8": [7, 9], "9": [8, 21], "10": [21], "11": [21], "12": [20], "13": [19], "14": [19], "15": [16, 18], "16": [15, 17], "17": [16], "18": [2, 3, 4, 15], "19": [4, 5, 13, 14], "20": [6, 7, 12], "21": [9, 10, 11]}
