cid	frag_id2frag_smiles
"28376780"	{"0": "CC", "1": "CC", "2": "CC", "3": "C=O", "4": "CN", "5": "CN", "6": "CC", "7": "CC", "8": "CC", "9": "C=O", "10": "CO", "11": "CC", "12": "C1=CC=CC=C1", "13": "C1=CC=CC=C1", "14": "C", "15": "C", "16": "C"}
"16352706"	{"0": "CC", "1": "CC", "2": "CN", "3": "C=O", "4": "C=C", "5": "CC", "6": "CCl", "7": "CO", "8": "CO", "9": "CO", "10": "C=S", "11": "C1CNCN1", "12": "C1=CC=CC=C1"}
"8536751"	{"0": "CC", "1": "CC", "2": "C=O", "3": "CN", "4": "CO", "5": "CO", "6": "C=O", "7": "CC", "8": "CC", "9": "C1CCNCC1", "10": "C1=CC=CC=C1", "11": "C1=CC=CC=C1", "12": "C", "13": "C", "14": "C"}
"18386381"	{"0": "CC", "1": "CC", "2": "C=O", "3": "CC", "4": "CO", "5": "CO", "6": "CC", "7": "CC", "8": "CC", "9": "CO", "10": "CO", "11": "CBr", "12": "CC", "13": "CC", "14": "C=O", "15": "CO", "16": "CBr", "17": "C1=CC=CC=C1", "18": "C1=CC=CC=C1", "19": "C1=CC=CC=C1", "20": "C", "21": "C", "22": "C"}
"9085153"	{"0": "C1=CC=C2SC=NC2=C1", "1": "CC", "2": "C=O", "3": "CN", "4": "NN", "5": "CN", "6": "C=S", "7": "CN", "8": "CN", "9": "CF", "10": "CC", "11": "C1=COC=C1", "12": "C1=CC=CC=C1", "13": "C", "14": "C"}
"24320025"	{"0": "CC", "1": "CO", "2": "CO", "3": "C=O", "4": "CC", "5": "CN", "6": "CN", "7": "C=O", "8": "CC", "9": "CS", "10": "O=S", "11": "O=S", "12": "NS", "13": "CN", "14": "CCl", "15": "C1=CC=C2SC=CC2=C1", "16": "C1=CC=CC=C1", "17": "C1=CC=CC=C1", "18": "C", "19": "C", "20": "S"}
"8626124"	{"0": "CC", "1": "C=O", "2": "CC", "3": "CC", "4": "CC", "5": "C=O", "6": "CO", "7": "CO", "8": "CC", "9": "C=O", "10": "CN", "11": "CN", "12": "CCl", "13": "CC", "14": "C=O", "15": "CC", "16": "C1=CC=CC=C1", "17": "C1=CC=CC=C1", "18": "C", "19": "C", "20": "C", "21": "C"}
"12012895"	{"0": "CC", "1": "CC", "2": "CC", "3": "CP", "4": "CP", "5": "CC", "6": "CP", "7": "CP", "8": "CO", "9": "CP", "10": "CC", "11": "CC", "12": "CC", "13": "CP", "14": "CO", "15": "C", "16": "P", "17": "P", "18": "C"}
"3333305"	{"0": "CC", "1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "C=O", "6": "CO", "7": "CN", "8": "CN", "9": "C=O", "10": "CN", "11": "CN", "12": "CC", "13": "C=O", "14": "CO", "15": "C1=CC=CC=C1", "16": "C", "17": "C", "18": "C", "19": "C", "20": "C"}
"14187785"	{"0": "CC", "1": "CO", "2": "OP", "3": "O=P", "4": "CP", "5": "CC", "6": "CC", "7": "CC", "8": "CO", "9": "CO", "10": "C=O", "11": "CC", "12": "CBr", "13": "CF", "14": "CF", "15": "OP", "16": "CO", "17": "CC", "18": "P", "19": "C", "20": "C", "21": "C"}
"5287182"	{"0": "C1=CC=CC=C1", "1": "CO", "2": "CO", "3": "CN", "4": "CC", "5": "C#N", "6": "CF", "7": "CC", "8": "C1=COC2=NC=NC=C2C1"}
"20393803"	{"0": "CC", "1": "C=S", "2": "CP", "3": "O=P", "4": "OP", "5": "OP", "6": "CO", "7": "CC", "8": "CCl", "9": "CF", "10": "C", "11": "P", "12": "C"}
"21401959"	{"0": "CC", "1": "CC", "2": "C=C", "3": "CC", "4": "CC", "5": "CC", "6": "CO", "7": "OP", "8": "O=P", "9": "OP", "10": "OP", "11": "CO", "12": "CC", "13": "CO", "14": "CO", "15": "CC", "16": "C=O", "17": "CO", "18": "CO", "19": "CC", "20": "C1=CC=CC=C1", "21": "C1=CC=CC=C1", "22": "C1=CC=CC=C1", "23": "C", "24": "C", "25": "P", "26": "C"}
"15480910"	{"0": "CC", "1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "CO", "7": "CO", "8": "CC", "9": "CC", "10": "CC", "11": "CC", "12": "CO", "13": "CO", "14": "CC", "15": "CC", "16": "C=O", "17": "CO", "18": "CO", "19": "CC", "20": "C1=NCC=NC1", "21": "C", "22": "C", "23": "C"}
