CID,MW,SLogP,nRot
1,203.116,-1.236,5
3,156.042,-0.711,1
4,75.068,-0.674,1
5,169.014,-1.377,4
6,201.978,2.156,2
7,163.086,0.428,1
8,148.074,-0.407,3
9,260.030,-3.718,2
10,473.166,-0.731,10
11,97.969,1.464,1
12,142.027,0.509,0
13,179.930,3.647,0
14,352.225,3.683,13
15,290.225,3.959,0
16,226.168,1.353,0
17,169.038,-0.075,2
18,192.027,-3.077,5
19,154.027,0.796,1
20,182.058,1.115,3
21,146.058,-0.199,3
22,132.042,-0.589,2
23,185.032,-0.877,4
24,323.108,-5.757,3
25,289.102,-3.626,3
26,269.076,-3.252,2
27,526.986,-2.983,9
28,157.038,-0.446,3
29,103.027,-1.403,2
30,141.043,-0.331,3
31,216.040,-1.800,5
32,186.016,-0.277,4
33,77.987,0.424,1
34,80.003,0.218,1
35,175.988,0.509,2
36,176.068,-0.211,4
37,178.048,-2.256,5
38,146.058,-0.341,3
39,128.047,0.138,0
40,164.068,-2.192,1
41,242.001,0.817,6
42,214.048,0.503,6
43,148.037,-0.703,4
45,120.006,-1.484,2
46,258.014,-2.139,7
47,130.063,0.686,3
48,145.038,-1.094,4
49,116.047,0.296,2
50,194.043,-3.285,5
51,146.022,-0.495,4
52,867.168,-1.318,21
53,865.152,-1.110,21
54,851.173,-0.289,21
55,654.538,14.692,23
56,654.538,14.605,24
57,638.543,14.986,23
58,102.032,0.050,2
59,185.993,-1.459,4
60,601.048,-3.083,13
61,265.959,-1.342,6
62,197.941,2.214,0
63,132.090,-0.864,3
64,179.974,0.967,0
65,177.959,2.405,0
66,161.964,2.699,0
67,192.027,-3.077,5
68,277.996,-0.638,1
69,156.042,0.658,3
70,130.063,0.686,3
71,160.037,-0.105,5
72,154.027,0.796,1
73,427.029,-1.746,6
74,851.136,-1.356,21
75,73.053,-0.466,2
76,288.209,3.879,0
77,176.068,-0.067,4
78,123.009,-0.363,2
79,104.037,0.953,0
80,172.037,-1.308,1
81,288.025,-2.778,8
82,324.025,-0.777,6
83,151.987,-0.893,3
84,911.157,-1.719,23
86,153.043,0.673,1
87,104.047,-0.301,2
88,853.152,-1.707,21
89,224.080,-0.041,4
90,911.157,-1.719,24
91,166.063,1.409,3
92,340.179,2.288,4
93,160.037,-0.105,5
94,909.142,-1.511,24
95,194.043,-3.285,5
96,102.032,0.050,2
97,340.101,-5.189,4
98,119.988,-0.430,2
99,849.157,-0.369,20
100,682.532,14.685,24
