cid	mol_smiles
"9"	"C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O"
"10"	"C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O"
"14"	"CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O"
"15"	"CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C"
"16"	"C1CCC(=O)NCCCCCC(=O)NCC1"
"24"	"C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O"
"25"	"C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O"
"26"	"CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O"
"27"	"C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O"
"31"	"CC(CO)(C(COP(=O)(O)O)O)O"
"41"	"CSCCC(=O)C(=COP(=O)(O)O)O"
"42"	"C(CC(=O)O)C(=O)C=CC=C(C(=O)O)O"
"46"	"C(C(C(COP(=O)(O)O)O)O)C(=O)C(=O)O"
"61"	"C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O"
"68"	"CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO"
"73"	"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N"
"5881"	"CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C"
"81"	"C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O"
"82"	"C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O"
"89"	"C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N"
"92"	"COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O"
"97"	"C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O"
"113"	"C(C(C(=O)C(=O)O)O)OP(=O)(O)O"
"115"	"C1C(C(C(C(O1)OP(=O)(O)O)O)O)N"
"116"	"C=C(C(=O)O)OC1C=C(C=CC1N)C(=O)O"
"121"	"CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O"
"122"	"C(C(=O)CC(=O)O)C(=O)C=CC(=O)O"
"130"	"C(C(=O)C(=O)O)C(CC(=O)O)(C(=O)O)O"
"131"	"CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)O)O"
"132"	"CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NC(CS)C(=O)O)O"
"139"	"CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C"
"140"	"CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO"
