cid	frag_id2frag_smiles
"9"	{"1": "C1CCCCC1", "2": "CO", "3": "CO", "4": "OP", "5": "O=P", "6": "OP", "7": "OP", "8": "CO", "9": "CO", "10": "CO", "11": "CO", "12": "P"}
"10"	{"1": "C1=CNCCN1", "2": "CN", "3": "CC", "4": "CN", "5": "CN", "6": "C=O", "7": "CN", "8": "CC", "9": "C=O", "10": "CN", "11": "CN", "12": "CC", "13": "CC", "14": "CC", "15": "C=O", "16": "CO", "17": "CC", "18": "C=O", "19": "CO", "20": "C=O", "21": "C1=CNC=NC1", "22": "C1=CC=CC=C1", "23": "N", "24": "C", "25": "C", "26": "C", "27": "C"}
"14"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "C=O", "7": "CC", "8": "C=C", "9": "CC", "10": "C=O", "11": "CC", "12": "CC", "13": "CC", "14": "CC", "15": "CC", "16": "CC", "17": "CC", "18": "C=O", "19": "CO", "20": "CO", "21": "C1CCCC1", "22": "C", "23": "C"}
"15"	{"1": "CC", "2": "C=O", "3": "CO", "4": "CC", "5": "C1CCCCC1", "6": "C1CCCCC1", "7": "C1CCCCC1", "8": "C1CCCC1"}
"16"	{"1": "C1CCCNCCCCCCNCC1", "2": "C=O", "3": "C=O"}
"24"	{"1": "CO", "2": "CC", "3": "CC", "4": "NO", "5": "C=O", "6": "CN", "7": "NO", "8": "CO", "9": "CO", "10": "CO", "11": "CO", "12": "CC", "13": "C1CNCCN1", "14": "C1=NCCCN1", "15": "C", "16": "C", "17": "C"}
"25"	{"1": "CO", "2": "CC", "3": "CC", "4": "C=O", "5": "CN", "6": "NO", "7": "CO", "8": "CO", "9": "CO", "10": "CC", "11": "C1=CNCCN1", "12": "C1=CNC=NC1", "13": "C", "14": "C"}
"26"	{"1": "CC", "2": "C=O", "3": "CC", "4": "C=O", "5": "CC", "6": "C=O", "7": "CN", "8": "CO", "9": "NO", "10": "C1=NCCNC1", "11": "C1=NCCCN1", "12": "C", "13": "C"}
"27"	{"1": "CO", "2": "CC", "3": "CC", "4": "C=O", "5": "CN", "6": "CO", "7": "NO", "8": "CO", "9": "CO", "10": "CC", "11": "OP", "12": "O=P", "13": "OP", "14": "OP", "15": "OP", "16": "O=P", "17": "OP", "18": "OP", "19": "OP", "20": "O=P", "21": "OP", "22": "OP", "23": "C1=CNCC=N1", "24": "C1=CNC=NC1", "25": "C", "26": "C", "27": "P", "28": "P", "29": "P"}
"31"	{"1": "CC", "2": "CC", "3": "CO", "4": "CC", "5": "CC", "6": "CO", "7": "OP", "8": "O=P", "9": "OP", "10": "OP", "11": "CO", "12": "CO", "13": "C", "14": "C", "15": "P"}
"41"	{"1": "CS", "2": "CS", "3": "CC", "4": "CC", "5": "C=O", "6": "CC", "7": "C=C", "8": "CO", "9": "OP", "10": "O=P", "11": "OP", "12": "OP", "13": "CO", "14": "C", "15": "C", "16": "P"}
