cid	smiles	frag_id2smiles	frag_id2neighbors	frag_id2mol_inx
"9"	"C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O"	{"1": "C1CCCCC1", "2": "CO", "3": "CO", "4": "OP", "5": "O=P", "6": "OP", "7": "OP", "8": "CO", "9": "CO", "10": "CO", "11": "CO", "12": "P"}	{"1": [11, 2, 3, 8, 9, 10], "2": [1], "3": [4, 1], "4": [3, 12], "5": [12], "6": [12], "7": [12], "8": [1], "9": [1], "10": [1], "11": [1], "12": [4, 5, 6, 7]}	{"1": [0, 5, 4, 3, 2, 1], "2": [4, 7], "3": [3, 8], "4": [8, 9], "5": [9, 10], "6": [9, 11], "7": [9, 12], "8": [2, 13], "9": [1, 14], "10": [0, 15], "11": [5, 6], "12": [9]}
"10"	"C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O"	{"1": "C1=CNCCN1", "2": "CN", "3": "CC", "4": "CN", "5": "CN", "6": "C=O", "7": "CN", "8": "CC", "9": "C=O", "10": "CN", "11": "CN", "12": "CC", "13": "CC", "14": "CC", "15": "C=O", "16": "CO", "17": "CC", "18": "C=O", "19": "CO", "20": "C=O", "21": "C1=CNC=NC1", "22": "C1=CC=CC=C1", "23": "N", "24": "C", "25": "C", "26": "C", "27": "C"}	{"1": [3, 21], "2": [21], "3": [4, 1], "4": [3, 23], "5": [6, 23], "6": [5], "7": [22, 23], "8": [22, 24], "9": [24], "10": [11, 24], "11": [10, 25], "12": [13, 25], "13": [12, 14], "14": [13, 26], "15": [26], "16": [26], "17": [25, 27], "18": [27], "19": [27], "20": [21], "21": [20, 2, 1], "22": [7, 8], "23": [4, 5, 7], "24": [8, 9, 10], "25": [11, 12, 17], "26": [14, 15, 16], "27": [17, 18, 19]}	{"1": [0, 5, 4, 3, 2, 1], "2": [7, 11], "3": [1, 12], "4": [12, 13], "5": [13, 14], "6": [14, 15], "7": [13, 16], "8": [19, 22], "9": [22, 23], "10": [22, 24], "11": [24, 25], "12": [25, 26], "13": [26, 27], "14": [27, 28], "15": [28, 29], "16": [28, 30], "17": [25, 31], "18": [31, 32], "19": [31, 33], "20": [9, 10], "21": [6, 7, 8, 9, 3, 4], "22": [17, 18, 19, 20, 21, 16], "23": [13], "24": [22], "25": [25], "26": [28], "27": [31]}
"14"	"CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O"	{"1": "CC", "2": "CC", "3": "CC", "4": "CC", "5": "CC", "6": "C=O", "7": "CC", "8": "C=C", "9": "CC", "10": "C=O", "11": "CC", "12": "CC", "13": "CC", "14": "CC", "15": "CC", "16": "CC", "17": "CC", "18": "C=O", "19": "CO", "20": "CO", "21": "C1CCCC1", "22": "C", "23": "C"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 5], "5": [4, 22], "6": [22], "7": [8, 22], "8": [7, 9], "9": [8, 21], "10": [21], "11": [12, 21], "12": [11, 13], "13": [12, 14], "14": [13, 15], "15": [14, 16], "16": [15, 17], "17": [16, 23], "18": [23], "19": [23], "20": [21], "21": [9, 10, 11, 20], "22": [5, 6, 7], "23": [17, 18, 19]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [5, 6], "7": [5, 7], "8": [7, 8], "9": [8, 9], "10": [12, 13], "11": [14, 15], "12": [15, 16], "13": [16, 17], "14": [17, 18], "15": [18, 19], "16": [19, 20], "17": [20, 21], "18": [21, 22], "19": [21, 23], "20": [10, 24], "21": [9, 10, 11, 12, 14], "22": [5], "23": [21]}
"15"	"CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C"	{"1": "CC", "2": "C=O", "3": "CO", "4": "CC", "5": "C1CCCCC1", "6": "C1CCCCC1", "7": "C1CCCCC1", "8": "C1CCCC1"}	{"1": [5], "2": [5], "3": [8], "4": [7], "5": [1, 2, 6], "6": [5, 7], "7": [4, 6, 8], "8": [3, 7]}	{"1": [0, 1], "2": [4, 5], "3": [18, 19], "4": [14, 20], "5": [2, 3, 4, 6, 7, 1], "6": [8, 9, 10, 11, 1, 7], "7": [12, 13, 14, 15, 10, 11], "8": [16, 15, 14, 18, 17]}
"16"	"C1CCC(=O)NCCCCCC(=O)NCC1"	{"1": "C1CCCNCCCCCCNCC1", "2": "C=O", "3": "C=O"}	{"1": [3, 2], "2": [1], "3": [1]}	{"1": [0, 15, 14, 13, 11, 10, 9, 8, 7, 6, 5, 3, 2, 1], "2": [11, 12], "3": [3, 4]}
"24"	"C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O"	{"1": "CO", "2": "CC", "3": "CC", "4": "NO", "5": "C=O", "6": "CN", "7": "NO", "8": "CO", "9": "CO", "10": "CO", "11": "CO", "12": "CC", "13": "C1CNCCN1", "14": "C1=NCCCN1", "15": "C", "16": "C", "17": "C"}	{"1": [12], "2": [15, 16], "3": [16, 17], "4": [13], "5": [14], "6": [14], "7": [13], "8": [13], "9": [17], "10": [16], "11": [15], "12": [1, 15], "13": [4, 7, 8, 14, 17], "14": [5, 6, 13], "15": [12, 2, 11], "16": [2, 3, 10], "17": [3, 9, 13]}	{"1": [0, 21], "2": [1, 2], "3": [2, 3], "4": [8, 9], "5": [10, 11], "6": [13, 15], "7": [5, 16], "8": [4, 17], "9": [3, 18], "10": [2, 19], "11": [1, 20], "12": [0, 1], "13": [3, 8, 7, 6, 5, 4], "14": [10, 12, 13, 14, 6, 7], "15": [1], "16": [2], "17": [3]}
"25"	"C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O"	{"1": "CO", "2": "CC", "3": "CC", "4": "C=O", "5": "CN", "6": "NO", "7": "CO", "8": "CO", "9": "CO", "10": "CC", "11": "C1=CNCCN1", "12": "C1=CNC=NC1", "13": "C", "14": "C"}	{"1": [10], "2": [13, 14], "3": [11, 14], "4": [12], "5": [12], "6": [11], "7": [11], "8": [14], "9": [13], "10": [1, 13], "11": [3, 6, 7, 12], "12": [4, 5, 11], "13": [10, 2, 9], "14": [2, 3, 8]}	{"1": [0, 19], "2": [1, 2], "3": [2, 3], "4": [9, 10], "5": [12, 14], "6": [5, 15], "7": [4, 16], "8": [2, 17], "9": [1, 18], "10": [0, 1], "11": [3, 8, 7, 6, 5, 4], "12": [9, 11, 12, 13, 6, 7], "13": [1], "14": [2]}
"26"	"CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O"	{"1": "CC", "2": "C=O", "3": "CC", "4": "C=O", "5": "CC", "6": "C=O", "7": "CN", "8": "CO", "9": "NO", "10": "C1=NCCNC1", "11": "C1=NCCCN1", "12": "C", "13": "C"}	{"1": [12], "2": [12], "3": [12, 13], "4": [13], "5": [10, 13], "6": [11], "7": [11], "8": [10], "9": [10], "10": [5, 8, 9, 11], "11": [6, 7, 10], "12": [1, 2, 3], "13": [3, 4, 5]}	{"1": [0, 1], "2": [1, 2], "3": [1, 3], "4": [3, 4], "5": [3, 5], "6": [12, 13], "7": [10, 14], "8": [16, 17], "9": [15, 18], "10": [5, 16, 15, 8, 7, 6], "11": [9, 10, 11, 12, 7, 8], "12": [1], "13": [3]}
"27"	"C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O"	{"1": "CO", "2": "CC", "3": "CC", "4": "C=O", "5": "CN", "6": "CO", "7": "NO", "8": "CO", "9": "CO", "10": "CC", "11": "OP", "12": "O=P", "13": "OP", "14": "OP", "15": "OP", "16": "O=P", "17": "OP", "18": "OP", "19": "OP", "20": "O=P", "21": "OP", "22": "OP", "23": "C1=CNCC=N1", "24": "C1=CNC=NC1", "25": "C", "26": "C", "27": "P", "28": "P", "29": "P"}	{"1": [10, 11], "2": [25, 26], "3": [23, 26], "4": [24], "5": [24], "6": [23], "7": [23], "8": [26], "9": [25], "10": [1, 25], "11": [1, 27], "12": [27], "13": [27], "14": [15, 27], "15": [14, 28], "16": [28], "17": [28], "18": [19, 28], "19": [18, 29], "20": [29], "21": [29], "22": [29], "23": [3, 6, 7, 24], "24": [4, 5, 23], "25": [10, 2, 9], "26": [2, 3, 8], "27": [11, 12, 13, 14], "28": [15, 16, 17, 18], "29": [19, 20, 21, 22]}	{"1": [0, 19], "2": [1, 2], "3": [2, 3], "4": [10, 11], "5": [8, 12], "6": [14, 15], "7": [13, 16], "8": [2, 17], "9": [1, 18], "10": [0, 1], "11": [19, 20], "12": [20, 21], "13": [20, 22], "14": [20, 23], "15": [23, 24], "16": [24, 25], "17": [24, 26], "18": [24, 27], "19": [27, 28], "20": [28, 29], "21": [28, 30], "22": [28, 31], "23": [3, 14, 13, 6, 5, 4], "24": [7, 8, 9, 10, 5, 6], "25": [1], "26": [2], "27": [20], "28": [24], "29": [28]}
"31"	"CC(CO)(C(COP(=O)(O)O)O)O"	{"1": "CC", "2": "CC", "3": "CO", "4": "CC", "5": "CC", "6": "CO", "7": "OP", "8": "O=P", "9": "OP", "10": "OP", "11": "CO", "12": "CO", "13": "C", "14": "C", "15": "P"}	{"1": [13], "2": [3, 13], "3": [2], "4": [13, 14], "5": [6, 14], "6": [5, 7], "7": [6, 15], "8": [15], "9": [15], "10": [15], "11": [14], "12": [13], "13": [1, 2, 4, 12], "14": [4, 5, 11], "15": [7, 8, 9, 10]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [1, 4], "5": [4, 5], "6": [5, 6], "7": [6, 7], "8": [7, 8], "9": [7, 9], "10": [7, 10], "11": [4, 11], "12": [1, 12], "13": [1], "14": [4], "15": [7]}
"41"	"CSCCC(=O)C(=COP(=O)(O)O)O"	{"1": "CS", "2": "CS", "3": "CC", "4": "CC", "5": "C=O", "6": "CC", "7": "C=C", "8": "CO", "9": "OP", "10": "O=P", "11": "OP", "12": "OP", "13": "CO", "14": "C", "15": "C", "16": "P"}	{"1": [2], "2": [1, 3], "3": [2, 4], "4": [3, 14], "5": [14], "6": [14, 15], "7": [8, 15], "8": [7, 9], "9": [8, 16], "10": [16], "11": [16], "12": [16], "13": [15], "14": [4, 5, 6], "15": [6, 7, 13], "16": [9, 10, 11, 12]}	{"1": [0, 1], "2": [1, 2], "3": [2, 3], "4": [3, 4], "5": [4, 5], "6": [4, 6], "7": [6, 7], "8": [7, 8], "9": [8, 9], "10": [9, 10], "11": [9, 11], "12": [9, 12], "13": [6, 13], "14": [4], "15": [6], "16": [9]}
