cid,md_class,type,SMILES
343520,110110000,sampled_class,CCOC(=O)CC1(C(C(C2=CC3=C(C=C2O1)OCO3)C4=CC(=C(C(=C4)OC)OC)OC)C(=O)OCC)O
680325,110110001,sampled_class,C1=CC=C2C(=C1)C(=O)C(=CC3=CC=C(O3)C4=CC=CC=C4Cl)C2=O
4176407,110001000,sampled_class,CC(C)CCN1C(=NN=N1)C(C2=CC=C(C=C2)N(C)C)N3CCN(CC3)C4=CC=CC=C4
271738,10000000,sampled_class,C1=CC=C(C=C1)C(CC(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6
9802973,111110011,sampled_class,CC1=CC=C(S1)C2=CC(SC3=C2C=C(C(=C3)F)C#CC4=CC=C(C=C4)C(=O)O)(C)C
108889,11,sampled_class,CCCCCCCCCC(C)(C)SSC(Cl)(Cl)Cl
12413,0,sampled_class,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
69642,110,sampled_class,CCSP(SCC)SCC
114260,11100,sampled_class,CCCCOP(N(C(C)C)C(C)C)OCCCC
549860,1011,sampled_class,C(N(SC(F)(F)F)SC(F)(F)F)(F)(F)F
