cid,smiles
3493774,C1CNC2=C1C(=NN2C3=CC(=CC(=C3)Cl)Cl)C4=CSC=C4
18954759,C1CC1C2=NC3=C(C=CS3)C(=C2)C4=CC=C(C=C4)F
28446672,CC1=C(C=CC(=C1)NC2CCSC2)Br
2796299,C1CN(CCN1CCCNC2=C3C(=CSC3=NC=N2)C4=CC=CC=C4)CC5=C(C=CC=C5Cl)F
3229243,CCC(C)(C)N1C(=NN=N1)C(C2=CC(=CC=C2)C(F)(F)F)N3CCSCC3
12928700,CN(C)C1CC(SC(C1)C2=C(C=C(C=C2)Cl)Cl)C3=CC=CC=C3
20482413,C1CN(CCN1CC2=CSC(=N2)N)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
17038994,CC1CCC2=NN(C(=C2C1)C(F)(F)F)C3=NC4=CC=CC=C4S3
25371320,CCN(CC1CCCN(C1)CCC2=CC(=CC=C2)F)CC3=CN=C(N=C3)SC
9108048,C1CN(CCN1CC2=CC=C(C=C2)Cl)C3=C4C=CSC4=NC=N3
5130815,CC1=CC=C(S1)C(C2=CC=C(S2)Cl)N3CCCNCC3
21446129,C1CN(CCN1C2=CC=C(C=C2)Cl)C3=CC=CC=C3SN
28730373,C1CN(C(C2=C1C3=CC=CC=C3N2)C4=CC=C(C=C4)F)CC5=NC=CS5
24912514,C1CN(CC2=CN=C(N=C21)C3=CC=C(C=C3)C(F)(F)F)CC4=C(NN=C4)C5=CC=CS5
2809310,C1CSCCN1CC2=C(C=C(C=N2)C(F)(F)F)Cl
21415400,CC(C)C1CCCCC1C(CN2C=CN=C2)SCC3=C(C=C(C=C3)Cl)Cl
20518605,CC1CCSC(S1)(CCC2=C(C=C(C=C2)Cl)Cl)CN3C=CN=C3
17964295,C1CNCCC1C2=CN(C3=C2C=CC(=C3)F)CC4=CSC=C4
24261842,C1CNCCC1C2=NC(=CS2)C3=CC=C(C=C3)Cl
20518908,C1CSC(SC1)(CCN2C=CN=C2)C3=CC=CC=C3Cl
2062916,CC1=C(C2=C(N=CN=C2S1)N3CCN(CC3)C4=CC=CC=C4)C5=CC=C(C=C5)F
4775392,CC1CCC2=C(C1)SC3=C2C4=NC(=NN4C=N3)C(C)N5C(=CC(=N5)C(F)(F)F)C6CC6
11177992,CN(C)C1=CC=C(C=C1)C2=CC3=C(C=C2)C4=C(C3)SC(=N4)NI
865056,CN1C(=NN=C1SCCN2CCCCC2)CNC3=CC=C(C=C3)F
9926401,C1CN(CC2=CC=CC=C21)CCCSC3=CC=C(C=C3)F
26447761,C1CC2=C(C1)SC3=NC=NC(=C23)NC4CCSC5=C4C=C(C=C5)F
2110142,C1C2=C(C=C(C=C2)C3=CSC(=N3)NC4=CC=CC=C4C(F)(F)F)C5=CC=CC=C51
24734545,C1CN(CCC1NC2=NC=C(C3=C2C=CC(=N3)C(F)(F)F)C4=CSC=C4)CC5=CC(=CC=C5)F
28505059,C1CCC2=C(C1)C=CC(=C2)C3=CSC4=NC=NC(=C34)NC5=CC=C(C=C5)Cl
4830134,C1CCC2=C(CC1)SC3=NC=NC(=C23)NC4=C(C=C(C=C4)F)Cl
18463773,CC1=CSC(=C1)C2=C(N=C(N2)C3(SCCCS3)C)C4=CC=C(C=C4)F
16000665,C1CN(CCN1C2=CC=C(C=C2)F)C3=NC(=CC(=N3)C(F)(F)F)C4=CC=CS4
13285601,C1C(SC2=NN=C(N21)C3=CC=C(C=C3)Br)CI
1998105,CN1CCC2=C(C1)SC3=C2C(=NC(=N3)SC)SCC4=CC=C(C=C4)F
28964339,C1CN(CC2=C1SC=C2)C3=NC4=CC=CC=C4C=C3CCl
16941401,CC1=C2C(=C(C=C1)Cl)SC(=N2)N3CCN(CC3)C4=NC5=C(S4)C=CC=C5Cl
10221631,CCN(C1CCCCC1)C2=NC(=NS2)NCC3=CC=C(C=C3)C(F)(F)F
17927907,C1CN(CCN1CCCC2=CC=CC=C2)C3=NSN=C3Cl
25099963,CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CN4C=C(N=C4C=C3)C(F)(F)F)N5CCN(CC5)C6CC6
24327478,C1CCC(CC1)C2=NN=C(N2N)SCC3=CSC(=N3)C4=CC=CC=C4Cl
3798966,C1CNCCN(C1)C(C2=CC3=C(C=C2)C=NC=C3)C4=CC=C(S4)Cl
28964496,CC1=NN(C(=C1CCl)N2CCSCC2)C
12000309,CC1(C2CSC3=C(C2NC4=C1C=C(C=C4)Cl)C(=NN3C5=CC=CC=C5)C6=CC=CC=C6)C
5100299,CC1=CSC(=C1)C(C2=CC=C(C=C2)C(F)(F)F)N3CCCNCC3
2746171,CSC1=NC(=NC(=N1)N2CCC(CC2)C(F)(F)F)N
24563739,C1CC1N2C(=NN=C2SC3=C(C=C(C=N3)C(F)(F)F)Cl)C4=CC=CS4
24915579,C1CN(CC2=CN=C(N=C21)C3=CC=C(C=C3)N)CC4=CC=C(S4)C5=CC=C(C=C5)F
8750545,C1CCN(C1)C2=NC(=CS2)C3=CC=C(S3)Br
